"","Date_monthrounded","AvgCa_mg.L","AvgMg_mg.L","AvgNa_mg.L","AvgSpC_uS.cm"
"124",1986-04-01,NA,NA,NA,NA
"125",1986-05-01,6.3,2.6,22,182
"126",1986-06-01,NA,NA,NA,NA
"127",1986-07-01,4.1,2.3,15,119
"128",1986-08-01,NA,NA,NA,NA
"129",1986-09-01,NA,NA,NA,NA
"130",1986-10-01,NA,NA,NA,NA
"131",1986-11-01,7.8,2.7,19,160
"132",1986-12-01,NA,NA,NA,NA
"133",1987-01-01,4.15,1.8,6.3,NA
"134",1987-02-01,NA,NA,NA,NA
"135",1987-03-01,NA,NA,NA,NA
"136",1987-04-01,NA,NA,NA,NA
"137",1987-05-01,5.9,2.3,10,111
"138",1987-06-01,NA,NA,NA,NA
"139",1987-07-01,5.5,2.7,17,149
"140",1987-08-01,NA,NA,NA,NA
"141",1987-09-01,6.4,2.8,26,194
"142",1987-10-01,NA,NA,NA,NA
"143",1987-11-01,NA,NA,NA,NA
"144",1987-12-01,7.5,2.8,26,211
"145",1988-01-01,6.5,2.5,11,133
"146",1988-02-01,NA,NA,NA,NA
"147",1988-03-01,6.6,2.5,16,144
"148",1988-04-01,NA,NA,NA,NA
"149",1988-05-01,6.3,2.6,16,148
"150",1988-06-01,NA,NA,NA,NA
"151",1988-07-01,NA,NA,NA,NA
"152",1988-08-01,5,2.5,16,133
"153",1988-09-01,6.1,2.5,13,128
"154",1988-10-01,NA,NA,NA,NA
"155",1988-11-01,7.4,2.8,20,170
"156",1988-12-01,NA,NA,NA,NA
"157",1989-01-01,NA,NA,NA,NA
"158",1989-02-01,6.1,2.4,10,115
"159",1989-03-01,NA,NA,NA,NA
"160",1989-04-01,5.1,2,6.6,83
"161",1989-05-01,NA,NA,NA,NA
"162",1989-06-01,NA,NA,NA,NA
"163",1989-07-01,NA,NA,NA,NA
"164",1989-08-01,5.9,2.5,10,111
"165",1989-09-01,5.8,2.1,8.4,104
"166",1989-10-01,NA,NA,NA,NA
"167",1989-11-01,5.2,2,9,99
"168",1989-12-01,NA,NA,NA,NA
"169",1990-01-01,5.3,2.1,7.9,95
"170",1990-02-01,NA,NA,NA,NA
"171",1990-03-01,5.3,2.3,9.4,99
"172",1990-04-01,NA,NA,NA,NA
"173",1990-05-01,6,2.4,8.4,93
"174",1990-06-01,NA,NA,NA,NA
"175",1990-07-01,NA,NA,NA,NA
"176",1990-08-01,8.3,2.6,26,200
"177",1990-09-01,7.7,2.5,14,139
"178",1990-10-01,NA,NA,NA,NA
"179",1990-11-01,NA,NA,NA,NA
"180",1990-12-01,7.2,2.5,15,147
"181",1991-01-01,5.5,2.1,8.1,100
"182",1991-02-01,NA,NA,NA,NA
"183",1991-03-01,NA,NA,NA,NA
"184",1991-04-01,4.9,1.8,7.6,93
"185",1991-05-01,NA,NA,NA,NA
"186",1991-06-01,7.1,2.6,14,135
"187",1991-07-01,NA,NA,NA,NA
"188",1991-08-01,NA,NA,NA,NA
"189",1991-09-01,6.9,1.7,3.4,74
"190",1991-10-01,NA,NA,NA,NA
"191",1991-11-01,NA,NA,NA,NA
"192",1991-12-01,7.8,2.9,23,200
"193",1992-01-01,NA,NA,NA,NA
"194",1992-02-01,NA,NA,NA,NA
"195",1992-03-01,NA,NA,NA,NA
"196",1992-04-01,5.3,2.3,9.4,104
"197",1992-05-01,NA,NA,NA,NA
"198",1992-06-01,NA,NA,NA,NA
"199",1992-07-01,NA,NA,NA,NA
"200",1992-08-01,NA,NA,NA,NA
"201",1992-09-01,7.1,2.6,11,132
"202",1992-10-01,NA,NA,NA,NA
"203",1992-11-01,NA,NA,NA,NA
"204",1992-12-01,4.7,2.1,7.8,98
"205",1993-01-01,3.8,1.6,5.2,72
"206",1993-02-01,NA,NA,NA,NA
"207",1993-03-01,3.85,1.55,5.2,70
"208",1993-04-01,4.55,1.85,5.55,74
"209",1993-05-01,6.3,2.5,12,123
"210",1993-06-01,7.4,2.8,17,164
"211",1993-07-01,7.5,2.7,21,177
"212",1993-08-01,7.6,2.9,22,183
"213",1993-09-01,NA,NA,NA,NA
"214",1993-10-01,9.1,3.1,28,236
"215",1993-11-01,NA,NA,NA,NA
"216",1993-12-01,6.1,2.4,10,127
"217",1994-01-01,NA,NA,NA,NA
"218",1994-02-01,5.35,2.2,9.5,108
"219",1994-03-01,5,2,8,97
"220",1994-04-01,6.1,2.4,11,121
"221",1994-05-01,6.3,2.6,14,137
"222",1994-06-01,6.4,2.7,20,167
"223",1994-07-01,6.75,2.85,17,167.5
"224",1994-08-01,5.9,2.3,11,119
"225",1994-09-01,6.9,2.55,17.4,162
"226",1994-10-01,6.5,2.35,14,145
"227",1994-11-01,NA,NA,NA,NA
"228",1994-12-01,8.5,2.9,17,171
"229",1995-01-01,5.4,2.2,9.4,108
"230",1995-02-01,3.5,1.5,5,69
"231",1995-03-01,NA,NA,NA,NA
"232",1995-04-01,6.4,2.6,12,132
"233",1995-05-01,NA,NA,NA,NA
"234",1995-06-01,5.6,2.2,7.6,98
"235",1995-07-01,NA,NA,NA,NA
"236",1995-08-01,3.4,1.4,4.7,68
"237",1995-09-01,NA,NA,NA,NA
"238",1995-10-01,NA,NA,NA,NA
"239",1995-11-01,5.9,2.3,9.5,115
"240",1995-12-01,NA,NA,NA,NA
"241",1996-01-01,NA,NA,NA,NA
"242",1996-02-01,NA,NA,NA,NA
"243",1996-03-01,NA,NA,NA,NA
"244",1996-04-01,NA,NA,NA,NA
"245",1996-05-01,4.8,2.1,8.2,92
"246",1996-06-01,6.1,2.7,13,135
"247",1996-07-01,NA,NA,NA,NA
"248",1996-08-01,5.2,2,9.1,105
"249",1996-09-01,3.95,1.45,2.65,65
"250",1996-10-01,NA,NA,NA,NA
"251",1996-11-01,5.1,2,6.5,92
"252",1996-12-01,NA,NA,NA,NA
"253",1997-01-01,NA,NA,NA,NA
"254",1997-02-01,NA,NA,NA,NA
"255",1997-03-01,NA,NA,NA,NA
"256",1997-04-01,5.94,2.38,7.93,108
